country,covid19_first_date,Population_2020,Density_KM2m,Urban_pop_pct,Health_Care_Index,hosp_beds_per_1000_2017,ICU-CCB_beds_per_100000,age_0_to_14_years_percent,age_15_to_64_years_percent,age_over_65_years_percent,sex_male_to_female_total,first_school_closure_date,airport_traffic_2018_thousands,gdp_usd_million
Saint Vincent and the Grenadines,2020-03-14 22:00:00,,,,,,,23.8,68.5,7.7,1.03,2020-03-16 00:00:00,,
San Marino,2020-02-27 22:00:00,33931.0,566,97%,,,,,,,0.94,2020-02-24 00:00:00,,1591.0
Saudi Arabia,2020-03-02 22:00:00,34813871.0,16,84%,59.11,,,25.2,71.5,3.3,1.19,2020-03-09 00:00:00,39141660.0,779289.0
Senegal,2020-03-02 22:00:00,16743927.0,87,49%,,,,42.9,54.1,3.0,0.94,2020-03-16 00:00:00,21038.0,23940.0
Serbia,2020-03-06 22:00:00,8737371.0,100,56%,51.27,,,16.5,66.2,17.4,0.95,2020-03-16 00:00:00,2262703.0,51523.0
Seychelles,2020-03-14 22:00:00,98347.0,214,56%,,,,22.2,69.2,8.6,1.06,2020-03-16 00:00:00,455201.0,1644.0
Singapore,2020-01-23 12:00:00,5850342.0,"8,358",N.A.,70.84,,,15.0,72.1,12.9,0.96,,40401515.0,362818.0
Slovakia,2020-03-06 22:00:00,5459642.0,114,54%,60.02,5.82,9.2,15.4,69.6,15.1,0.94,2020-03-10 00:00:00,,106552.0
Slovenia,2020-03-05 22:00:00,2078938.0,103,55%,64.58,4.5,6.4,15.0,66.0,19.1,0.95,2020-03-16 00:00:00,1094762.0,54154.0
Somalia,2020-03-16 22:00:00,15893222.0,25,47%,,,,46.4,50.8,2.7,1.01,2020-03-18 00:00:00,4486.0,4958.0
South Africa,2020-03-05 22:00:00,59308690.0,49,67%,64.14,,,29.0,65.7,5.3,0.98,2020-03-18 00:00:00,23921748.0,358839.0
Spain,2020-01-31 19:00:00,46754778.0,94,80%,78.88,2.97,9.7,14.7,65.9,19.4,0.98,2020-03-11 00:00:00,80672105.0,1397870.0
Sri Lanka,2020-01-27 20:30:00,21413249.0,341,18%,72.53,,,24.0,65.9,10.1,0.96,2020-03-13 00:00:00,5882376.0,86566.0
Sudan,2020-03-13 22:00:00,43849260.0,25,35%,,,,40.8,55.6,3.5,1.02,2020-03-16 00:00:00,269958.5,30873.0
Suriname,2020-03-14 22:00:00,586632.0,4,65%,,,,26.4,66.6,6.9,1.01,,272347.0,3774.0
Sweden,2020-01-31 19:00:00,10099265.0,25,88%,69.23,2.22,5.8,17.5,62.5,19.9,1,2020-03-18 00:00:00,,528929.0
Switzerland,2020-02-25 22:00:00,8654622.0,219,74%,72.44,4.53,11.0,14.9,66.7,18.4,0.97,2020-03-12 00:00:00,28857994.0,715360.0
Syria,2020-03-22 22:00:00,17500658.0,95,60%,,,,36.6,59.1,4.3,1.01,,,60043.0
Taiwan,2020-01-23 12:00:00,23816775.0,673,79%,86.71,,,13.12,73.02,13.86,0.99,,,586104.0
Tanzania,2020-03-16 22:00:00,59734218.0,67,37%,,,,44.9,52.0,3.1,0.99,,1481557.0,62224.0
Thailand,2020-01-22 12:00:00,69799978.0,137,51%,77.95,,,17.3,71.3,11.4,0.97,2020-03-18 00:00:00,76053043.0,529177.0
Timor-Leste,2020-03-22 22:00:00,1318445.0,89,33%,,,,43.6,52.8,3.6,1.01,2020-03-23 00:00:00,,2938.0
Togo,2020-03-06 22:00:00,8278724.0,152,43%,,,,41.6,55.6,2.8,0.98,2020-03-20 00:00:00,566295.0,5502.0
Trinidad and Tobago,2020-03-14 22:00:00,1399488.0,273,52%,,,,20.7,69.3,10.0,1.03,2020-03-14 00:00:00,2525130.0,22607.0
Tunisia,2020-03-04 22:00:00,11818619.0,76,70%,57.18,,,24.0,68.0,8.0,0.99,2020-03-16 00:00:00,4274199.0,38732.0
Turkey,2020-03-11 22:00:00,84339067.0,110,76%,69.8,2.81,47.0,25.0,66.9,8.2,1.01,2020-03-16 00:00:00,116000000.0,743708.0
United States,2020-01-22 12:00:00,331002651.0,36,83%,69.27,,34.7,18.9,65.7,15.4,0.97,2020-02-28 00:00:00,889000000.0,21439453.0
Uganda,2020-03-21 22:00:00,45741007.0,229,26%,,,,47.7,50.1,2.2,0.99,2020-03-20 00:00:00,21537.0,30666.0
Ukraine,2020-03-03 22:00:00,43733762.0,75,69%,52.33,,,15.5,68.0,16.5,0.86,2020-03-06 00:00:00,7854842.0,150401.0
United Arab Emirates,2020-01-29 21:00:00,9890402.0,118,86%,67.04,,,13.9,85.0,1.1,2.18,2020-03-08 00:00:00,95533069.0,405771.0
United Kingdom,2020-03-11 22:00:00,67886011.0,281,83%,74.46,2.54,6.6,17.7,63.8,18.5,0.99,,165000000.0,2743586.0
Uruguay,2020-03-14 22:00:00,3473730.0,20,96%,66.28,,,21.1,64.3,14.7,0.94,2020-03-14 00:00:00,,59918.0
Uzbekistan,2020-03-15 22:00:00,33469203.0,79,50%,,,,28.0,67.5,4.5,0.99,2020-03-16 00:00:00,3056558.0,60490.0
Venezuela,2020-03-14 22:00:00,28435940.0,32,N.A.,39.66,,,27.6,65.8,6.6,0.99,2020-03-16 00:00:00,,70140.0
Vietnam,2020-01-23 12:00:00,97338579.0,314,38%,57.7,,,23.1,69.8,7.2,1,2020-02-28 00:00:00,47049671.0,261637.0
Zambia,2020-03-18 22:00:00,18383955.0,25,45%,,,,44.8,52.7,2.5,1,2020-03-20 00:00:00,8904.0,23946.0
Zimbabwe,2020-03-20 22:00:00,14862924.0,38,38%,,,,41.2,56.0,2.8,1.01,2020-03-24 00:00:00,282539.0,12818.0
